member_casual,month,year,total_viajes,promedio_duration_minutes
casual,2,2025,11,659.69
casual,3,2025,83064,21.45
casual,4,2025,105528,22.41
casual,5,2025,176162,25.08
casual,6,2025,279607,26.49
casual,7,2025,309325,25.48
casual,8,2025,324192,24.59
casual,9,2025,255244,22.43
casual,10,2025,214876,21.33
casual,11,2025,94933,18.76
casual,12,2025,27178,17.53
casual,1,2026,23965,18.23
casual,2,2026,40157,17.27
member,2,2025,25,312.3
member,3,2025,208500,11.42
member,4,2025,257962,11.5
member,5,2025,314091,12.34
member,6,2025,379629,13.18
member,7,2025,430577,13.64
member,8,2025,443257,13.36
member,9,2025,441083,12.93
member,10,2025,414270,12.61
member,11,2025,252050,12.33
member,12,2025,109424,12.24
member,1,2026,109984,13.08
member,2,2026,157268,11.02